periodStartTime,MO,LTE_288b - Maximum PDCP Throughput UL,LTE_291b - Maximum PDCP Throughput DL,LTE_5017a - E-UTRAN E-RAB Setup Success Ratio,LTE_5119g - E-UTRAN E-RAB Drop Ratio User Perspective,LTE_5212a - E-UTRAN PDCP SDU Volume DL,LTE_5213a - E-UTRAN PDCP SDU Volume UL,LTE_5218g - Total E-UTRAN RRC Connection Setup Success Ratio,LTE_5750a - E-UTRAN Cell Availability Ratio,LTE_718b - Maximum number of active users per cell,LTE_806b - Maximum of RRC connected users,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,0,0,0,0,0,0,0,100,0,0,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,165,330,100,0,0.155555,0.078471,100,100,2,2,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,289,33272,100,0,17.2563,0.95738,100,100,4,4,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,85,2161,100,0,0.443124,0.028157,100,100,1,1,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-4,134,117,100,0,0.397477,0.235153,100,100,2,2,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-5,580,5091,100,0,12.447,1.5246,100,100,2,2,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,3,1,100,0,0.000252,0.00043,100,100,0,1,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,211,4846,100,0,2.00354,0.299259,100,100,5,5,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,1409,55655,100,0,29.4183,1.81746,100,100,6,6,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,0,0,0,0,0,0,0,100,0,0,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-4,167,380,100,0,1.26805,0.451713,100,100,4,4,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-5,551,7301,100,0,39.4911,3.50053,100,100,3,3,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,0,0,0,0,0,0,0,100,0,0,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,209,5421,98.5915,0,2.53341,0.158921,100,100,3,3,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,512,19942,100,0,26.5832,1.40269,100,100,7,7,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,17,33,100,0,0.011529,0.00701,100,100,1,1,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-4,144,11755,100,0,9.37356,0.135,100,100,2,2,
2020-02-26 12:15:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-5,298,9204,100,0,8.74234,0.567238,100,100,3,3,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,8,2,100,0,0.000327,0.001029,100,100,1,1,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,633,2430,100,0,2.39888,0.635682,100,100,4,4,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,894,20357,100,0,21.4448,1.55014,100,100,7,7,
2020-02-26 12:30:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,280,721,100,0,0.317936,0.212396,100,100,1,1,
